#不需要恢復还原的应用请在开头注释# 比如#xxxxxxxx 酷安
1DM+ idm.internet.download.manager.plus
AIDA64 com.finalwire.aida64
AIDE com.aide.ui
APK編輯器 com.gmail.heagoo.apkeditor.pro
AccuBattery com.digibites.accubattery
AndroBench com.andromeda.androbench2
ApktoolM ru.maximoff.apktool
AuroraStore com.aurora.store
CallofDuty com.garena.game.codm
Chrome com.android.chrome
DevCheck flar2.devcheck
Discord com.discord
EXKernelManager flar2.exkernelmanager
Facebook com.facebook.katana
GSamBatteryMonitorPro com.gsamlabs.bbm.pro
Gallery com.simplemobiletools.gallery.pro
Gboard com.google.android.inputmethod.latin
GitHub com.github.android
Gmail com.google.android.gm
Instagram com.instagram.android
JBLPortable com.harman.ble.jbllink
MT管理器 bin.mt.plus
Magisk com.topjohnwu.magisk
Maps com.google.android.apps.maps
Messenger com.facebook.orca
NekogramX nekox.messenger
Phonograph com.kabouzeid.gramophone
QQ com.tencent.mobileqq
QuickEdit高级版 com.rhmsoft.edit.pro
RAR com.rarlab.rar
S2TDroid com.npes87184.s2tdroid
SDMaid eu.thedarken.sdm
Scene4Beta com.omarea.vtools
Snapseed com.niksoftware.snapseed
Termux com.termux
TitaniumBackupAdd-on com.keramidas.TitaniumBackupAddon
ToastCreator com.kmou424.ToastCreator
Twitter com.twitter.android
VancedManager com.vanced.manager
XKWallpaperEngine yyc.xk.core
ZArchiverPro ru.zdevs.zarchiver.pro
保存副本 app.rikka.savecopy
存储空间隔离 moe.shizuku.redirectstorage
快否 com.af.benchaf
搜图神器 com.example.administrator.searchpicturetoom
搞机助手 Han.GJZS
文件管理器 in.mfile
泼辣修图 photo.editor.polarr
百度地图 com.baidu.BaiduMap
相机 com.google.android.GoogleCameraEng
翻译 com.google.android.apps.translate
翻译 com.microsoft.translator
遠傳心生活 com.fetself
酷安 com.coolapk.market
钛备份 com.keramidas.TitaniumBackup
镧·系统工具箱 xzr.La.systemtoolbox
阅读 io.legado.app.release
零卡分期 com.chailease.tw.app.android.ccfappcust
静读天下专业版 com.flyersoft.moonreaderp
