#不需要恢復還原的應用請在開頭注釋# 比如#xxxxxxxx 酷安
1DM+ idm.internet.download.manager.plus /data/app/~~QklTSdQI36T815gQ2nlIGQ==/idm.internet.download.manager.plus-h2wEzjxEsuHP7_5UAkoJsA==
AIDA64 com.finalwire.aida64 /data/app/~~aeSfdlS6spLz--43Ilw10g==/com.finalwire.aida64-NZYjvk6JlmT_YOgIkauAvw==
APK編輯器 com.gmail.heagoo.apkeditor.pro /data/app/~~zKIUYzTyGnTq_Sr8GoMGSA==/com.gmail.heagoo.apkeditor.pro-Qgtgtloy1JJcsqrUPT3gjQ==
AccuBattery com.digibites.accubattery /data/app/~~BRsxwFECQ7F2r3SosZ565Q==/com.digibites.accubattery-tgziG4x2ajr_WUgFvNCXTw==
AndroBench com.andromeda.androbench2 /data/app/~~KEGSrfzhJqUGImOxX_t8Cg==/com.andromeda.androbench2-8OFxb_CvIJpQeOOmVIyf2g==
ApktoolM ru.maximoff.apktool /data/app/~~8Qc2W-eoC2hEcZJ8lpe0_Q==/ru.maximoff.apktool-TaSufbX-NUk_XfL33ipKdg==
AuroraStore com.aurora.store /data/app/~~QJyqy00qCjAoNVD81AIheQ==/com.aurora.store-a-cKIG0Om54mEXV96qHCRg==
Chrome com.android.chrome /data/app/~~7_cO2H93KBwhxfjyVCU11Q==/com.android.chrome-ndB94UCIxupWIk3uMFc06g==
Cleaner me.gm.cleaner /data/app/~~yd9fJA05v1z6OBTmUKCLxw==/me.gm.cleaner-UaHaAxEybAPZZ0s0U_FWzg==
DevCheck flar2.devcheck /data/app/~~O5U3ZY3ST6lj_em548tBgw==/flar2.devcheck-oedQjS_9dnjaZcu3_YuQtw==
EXKernelManager flar2.exkernelmanager /data/app/~~MUFH6t_3mgeHfSq_IM8RaQ==/flar2.exkernelmanager-P5tY0AconuDyWCBK7MvPkQ==
Facebook com.facebook.katana /data/app/~~wsC4SQCTsJzVn_eckQVqvg==/com.facebook.katana-LZydcGoXoSk71SplTLbxVw==
GSamBatteryMonitorPro com.gsamlabs.bbm.pro /data/app/~~0agvaH8fpB4aXgxnaMRCYw==/com.gsamlabs.bbm.pro--jOEcv9N324cvJp0kYgkYA==
Gboard com.google.android.inputmethod.latin /data/app/~~1pgBWJMQPv75Ltn8afzDfg==/com.google.android.inputmethod.latin-nFkxIhujetdDxWfxoz08tA==
Gmail com.google.android.gm /data/app/~~cxTL9t_oIK1F_mX3F-OpYA==/com.google.android.gm-JiLNoK0EGF96EEpUyH_Skg==
Google com.google.android.googlequicksearchbox /data/app/~~9r6F2U4JBix5MRuPhcmNbw==/com.google.android.googlequicksearchbox-2P_72XAaZ0evB6DxJpQVww==
Instagram com.instagram.android /data/app/~~BZhzSH2ghrjvCdTHP8-KmA==/com.instagram.android-BcInLzUYdiwlbO2Xmaj-Vw==
JBLPortable com.harman.ble.jbllink /data/app/~~XWN1xyF6MXxAWi9VXztCVQ==/com.harman.ble.jbllink-RwRStVmeqiTS54EtoA_ChA==
LINE jp.naver.line.android /data/app/~~UmPCanbWFixitjBOsa1viw==/jp.naver.line.android-Q2BTlls7Gy-RV6LU6U_WLQ==
LSPosed org.lsposed.manager /data/app/~~M6AeaHvd4nFQ2woSNbkTow==/org.lsposed.manager-gJ0virsXCDTd_2zU7lDQkg==
LibChecker com.absinthe.libchecker /data/app/~~GvmzdfoVqxjh5MBIfjdmVg==/com.absinthe.libchecker-t6LSBuWPg8IWObz5Aa4vUQ==
MT管理器 bin.mt.plus /data/app/~~J2iozDL97Frv1Iqf4Zh1RA==/bin.mt.plus-Doy4vYjhJnwjNGOYD0ZiLQ==
Magisk com.topjohnwu.magisk /data/app/~~YAQU1Qsahwu0v8K1w3ROnA==/com.topjohnwu.magisk-4lGqNC9PctV4BUC9Z-23eQ==
Messenger com.facebook.orca /data/app/~~js5IBml5aYMJhovUYt7DzQ==/com.facebook.orca-GSOaGu0lc-5yjCf7CLUSbA==
NekogramX nekox.messenger /data/app/~~sD6Ko1GIAgBXyMzcr1zUfg==/nekox.messenger-3SEkTuodUPA-N0YrD-qmSw==
NetMonster cz.mroczis.netmonster /data/app/~~rTzF-bi4QlcmzP_Ml4vJOQ==/cz.mroczis.netmonster-4V8_8CaZH87aRpz6unm31Q==
NewPipe org.schabi.newpipe /data/app/~~DUMs2VgIfJmo2YWYrotMog==/org.schabi.newpipe-X_DpF_PbZn9NcB2eF0qa_w==
Phonograph com.kabouzeid.gramophone /data/app/~~jy_1uChaF9d9DPknvJINFw==/com.kabouzeid.gramophone-1qx3U7uf530gft9vTdsfzQ==
Polarr photo.editor.polarr /data/app/~~e91UFarXQZQiZQNBzA6t9g==/photo.editor.polarr-hJ8r834rZ9qpEA6YnBSyAQ==
